S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2015-11-24,2,20.00,2180.00,110.00,108.00,110.00
2,2015-11-25,5,50.00,5800.00,120.00,112.00,120.00
3,2015-11-26,8,1000.00,129000.00,132.00,122.00,132.00
4,2015-11-29,10,1020.00,145040.00,145.00,134.00,145.00
5,2015-11-30,6,60.00,9170.00,159.00,147.00,159.00
6,2015-12-01,5,70.00,11760.00,174.00,162.00,174.00
7,2015-12-02,6,100.00,18440.00,191.00,177.00,191.00
8,2015-12-03,7,5701.00,1106484.00,210.00,194.00,210.00
9,2015-12-06,6,1020.00,232080.00,231.00,214.00,231.00
10,2015-12-07,6,420.00,103520.00,254.00,235.00,254.00
11,2015-12-08,6,1368.00,375155.20,279.40,259.00,279.40
12,2015-12-09,10,5511.00,1684537.00,307.00,284.00,307.00
13,2015-12-10,5,974.00,316070.00,337.00,313.00,337.00
14,2015-12-13,18,15750.00,5823970.00,370.00,343.00,370.00
15,2015-12-14,11,9670.00,3934890.00,407.00,377.00,407.00
16,2015-12-15,129,82044.00,36633232.00,447.00,410.00,447.00
17,2015-12-16,114,36004.00,15532038.00,480.00,403.00,403.00
18,2015-12-17,37,11833.00,4419998.00,395.00,365.00,367.00
19,2015-12-20,20,2909.00,978369.00,360.00,331.00,331.00
20,2015-12-21,13,3662.00,1114212.00,325.00,300.00,300.00
21,2015-12-22,37,62224.00,18199860.00,300.00,288.00,299.00
22,2015-12-23,51,33837.00,10416853.00,328.00,293.00,328.00
23,2015-12-24,45,19474.00,6636074.00,360.00,330.00,331.00
24,2015-12-27,16,4457.00,1500652.00,345.00,333.00,339.00
25,2015-12-28,3,2183.00,738939.00,339.00,333.00,333.00
26,2015-12-29,10,2338.00,776704.00,336.00,329.00,330.00
27,2015-12-31,17,7697.00,2492506.00,331.00,320.00,320.00
28,2016-01-03,21,9153.00,2937244.00,326.00,314.00,314.00
29,2016-01-04,25,9497.00,2881799.00,313.00,299.00,300.00
30,2016-01-05,9,4650.00,1398627.00,305.00,297.00,301.00
31,2016-01-06,20,17122.00,5177552.00,316.00,290.00,309.00
32,2016-01-07,15,7164.00,2222274.00,317.00,307.00,307.00
33,2016-01-10,21,6551.00,2019398.00,314.00,300.00,305.00
34,2016-01-11,15,10524.00,3166956.00,308.00,300.00,308.00
35,2016-01-12,43,23134.00,7199648.00,324.00,302.00,318.00
36,2016-01-13,6,1985.00,660093.00,342.00,324.00,342.00
37,2016-01-18,7,1850.00,648000.00,354.00,348.00,350.00
38,2016-01-19,16,5750.00,2049200.00,376.00,350.00,365.00
39,2016-01-20,13,2460.00,921150.00,382.00,370.00,370.00
40,2016-01-21,7,2100.00,763500.00,367.00,360.00,363.00
41,2016-01-24,5,3200.00,1144200.00,361.00,356.00,360.00
42,2016-01-25,3,270.00,97340.00,367.00,360.00,360.00
43,2016-01-26,11,38454.00,12531530.00,355.00,325.00,337.00
44,2016-01-27,25,12939.00,4751150.00,370.00,343.00,370.00
45,2016-01-28,28,17649.00,6652206.00,384.00,374.00,374.00
46,2016-01-31,8,3550.00,1321110.00,375.00,368.00,370.00
47,2016-02-01,14,4038.00,1501666.00,384.00,369.00,370.00
48,2016-02-02,9,2954.00,1130608.00,385.00,377.00,379.00
49,2016-02-03,34,12689.00,4981255.00,413.00,379.00,400.00
50,2016-02-04,22,12387.00,5437976.00,440.00,408.00,440.00
51,2016-02-07,66,22960.00,10727960.00,484.00,448.00,484.00
52,2016-02-08,68,23446.00,12068047.00,530.00,486.00,525.00
53,2016-02-11,23,4490.00,2299304.00,530.00,500.00,510.00
54,2016-02-14,21,3970.00,1976520.00,520.00,473.00,498.00
55,2016-02-15,47,15360.00,7022600.00,493.00,449.00,484.00
56,2016-02-16,20,3564.00,1700658.00,483.00,458.00,471.00
57,2016-02-17,7,2430.00,1142970.00,485.00,455.00,479.00
58,2016-02-18,3,500.00,238400.00,484.00,466.00,466.00
59,2016-02-21,11,2364.00,1077950.00,475.00,450.00,450.00
60,2016-02-22,7,1164.00,527856.00,467.00,444.00,467.00
61,2016-02-23,10,2450.00,1116060.00,460.00,450.00,450.00
62,2016-02-24,7,1501.00,666876.00,450.00,442.00,450.00
63,2016-02-25,51,19485.00,9541475.00,495.00,459.00,495.00
64,2016-02-28,76,21634.00,11695844.00,544.00,504.00,544.00
65,2016-02-29,83,31649.00,18545168.00,598.00,554.00,598.00
66,2016-03-01,89,36705.00,23898645.00,657.00,609.00,657.00
67,2016-03-02,60,17404.00,12533560.00,722.00,670.00,722.00
68,2016-03-03,219,75723.00,59203548.00,794.00,723.00,745.00
69,2016-03-06,109,26679.00,20515448.00,819.00,712.00,819.00
70,2016-03-10,108,39093.00,34707660.00,900.00,833.00,900.00
71,2016-03-13,85,22325.00,18831486.00,885.00,819.00,831.00
72,2016-03-14,88,33678.00,27482777.00,850.00,800.00,815.00
73,2016-03-15,108,40604.00,32746210.00,826.00,775.00,811.00
74,2016-03-16,41,18680.00,14989563.00,811.00,798.00,803.00
75,2016-03-17,38,13545.00,11060023.00,831.00,801.00,817.00
76,2016-03-20,62,23032.00,19142903.00,845.00,802.00,840.00
77,2016-03-21,57,24646.00,20937973.00,857.00,842.00,842.00
78,2016-03-23,26,8340.00,7022400.00,858.00,840.00,840.00
79,2016-03-24,22,16086.00,13479998.00,849.00,835.00,835.00
80,2016-03-27,33,10419.00,8660960.00,845.00,821.00,821.00
81,2016-03-28,30,9876.00,8195354.00,840.00,825.00,828.00
82,2016-03-29,32,7742.00,6465778.00,844.00,820.00,835.00
83,2016-03-30,22,7006.00,5793069.00,845.00,821.00,845.00
84,2016-03-31,11,984.00,805800.00,830.00,815.00,815.00
85,2016-04-03,26,7456.00,5994116.00,810.00,784.00,801.00
86,2016-04-04,24,5185.00,4140553.00,803.00,795.00,798.00
87,2016-04-05,9,2584.00,2068100.00,803.00,796.00,800.00
88,2016-04-06,36,15822.00,12993891.00,846.00,801.00,841.00
89,2016-04-10,41,12862.00,10925011.00,860.00,840.00,846.00
90,2016-04-11,31,13688.00,11595374.00,864.00,840.00,846.00
91,2016-04-12,75,37102.00,32032739.00,890.00,850.00,875.00
92,2016-04-14,31,6485.00,5757103.00,902.00,877.00,885.00
93,2016-04-17,32,12716.00,11336352.00,920.00,887.00,896.00
94,2016-04-18,23,5950.00,5326736.00,902.00,890.00,895.00
95,2016-04-19,26,10686.00,9525930.00,903.00,880.00,891.00
96,2016-04-20,16,3625.00,3228410.00,895.00,884.00,885.00
97,2016-04-21,12,2244.00,1975999.00,885.00,876.00,884.00
98,2016-04-24,9,10500.00,9183600.00,877.00,853.00,853.00
99,2016-04-25,31,10313.00,9000754.00,890.00,855.00,885.00
100,2016-04-26,30,8546.00,7581968.00,902.00,875.00,882.00
101,2016-04-27,32,12821.00,11324267.00,891.00,865.00,882.00
102,2016-04-28,55,12220.00,11034314.00,909.00,896.00,896.00
103,2016-05-02,18,7602.00,6772646.00,910.00,887.00,889.00
104,2016-05-03,25,5595.00,4981299.00,920.00,885.00,885.00
105,2016-05-04,18,5567.00,4926289.00,900.00,881.00,885.00
106,2016-05-05,2,148.00,130980.00,885.00,885.00,885.00
107,2016-05-08,9,2280.00,1990800.00,875.00,870.00,872.00
108,2016-05-09,7,1334.00,1161180.00,874.00,867.00,872.00
109,2016-05-10,14,2650.00,2286200.00,870.00,854.00,854.00
