sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,15.00,11.31,26.31,2019-12-11 [Closed],2020-02-06,2020-08-05,2075/2076
2,10.00,16.31,26.31,2018-12-12 [Closed],,,2074/2075
3,15.00,6.05,21.05,2017-11-20 [Closed],,,2073/2074
4,10.00,11.05,21.05,2016-12-12 [Closed],2017-06-01,,2072/2073
5,25.00,6.57,31.57,2015-12-16 [Closed],2016-05-05,,2071/2072
6,40.00,17.89,57.89,2014-12-14 [Closed],2015-01-22,,2070/2071
7,40.00,12.632,52.632,2013-11-17 [Closed],2013-12-29,,2069/2070
8,20.00,32.63,52.63,2012-12-05 [Closed],2013-01-08,,2068/2069
9,20.00,32.63,52.63,,2012-01-12,,2067/2068
