sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,4.4,0.23,4.63,2020-12-31 [Closed],,2021-02-15,2076/2077
2,0.00,6.8,6.8,2019-12-16 [Closed],2020-01-06,,2075/2076
3,1.5,8.00,9.5,2019-06-14 [Closed],,,2074/2075
4,5.5,6.5,12.00,2018-07-02 [Closed],2018-08-02,,2073/2074
