sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,30.00,0.00,30.00,2020-12-30 [Closed],,2021-02-24,2076/2077
2,10.00,0.53,10.53,2020-03-13 [Closed],,2020-09-10,2075/2076
3,0.00,25.00,25.00,2018-10-21 [Closed],,,2074/2075
4,20.00,1.052,21.052,2017-11-02 [Closed],,,2073/2074
5,20.00,1.1,21.1,2016-12-01 [Closed],,,2072/2073
6,20.00,1.1,21.1,2015-12-31 [Closed],,,2071/2072
