sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,9.2,0.4829,9.6829,2021-03-21 [Closed],,2021-07-04,2076/2077
2,45.00,2.36,47.36,2020-01-04 [Closed],,2020-06-17,2075/2076
3,24.00,1.26,25.26,2018-12-25 [Closed],,,2074/2075
4,30.8,,30.8,2018-05-16 [Closed],,,2073/2074
5,50.00,2.63,52.63,2016-12-12 [Closed],,,2072/2073
