sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,5.05,0.27,5.32,,,,2076/2077
2,12.3,0.6,12.9,,,,2074/2075
3,23.00,1.21,24.21,,,2021-05-10,2073/2074
4,18.00,,18.00,2017-01-02 [Closed],,,2072/2073
5,35.00,,35.00,2016-05-20 [Closed],,,2071/2072
6,18.00,,18.00,2015-03-29 [Closed],2015-06-16,,2070/2071
