sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,8.00,0.42,8.42,2021-05-12 [Closed],,2021-07-08,2076/2077
2,10.00,,10.00,2018-04-09 [Closed],,,2073/2074
3,20.00,,20.00,2017-06-23 [Closed],,,2072/2073
