sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,22.00,1.16,23.16,2019-12-30 [Closed],,2020-06-10,2075/2076
2,22.00,1.16,23.16,2018-10-02 [Closed],,,2074/2075
3,18.00,,18.00,2018-01-03 [Closed],,,2073/2074
4,10.00,,10.00,2016-12-28 [Closed],,,2072/2073
5,25.00,,25.00,2015-10-27 [Closed],2015-11-16,,2071/2072
6,70.00,7.00,77.00,2014-11-17 [Closed],2015-02-03,,2070/2071
7,50.00,,50.00,2012-12-10 [Closed],2013-02-02,,2068/2069
8,0.00,35.00,35.00,2012-01-01 [Closed],2012-01-24,,2067/2068
