sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,7.00,8.00,15.00,2021-01-01 [Closed],,2021-02-22,2075/2076
2,12.5,0.00,12.5,,,,2074/2075
3,12.5,0.00,12.5,2020-07-03 [Closed],,2019-11-26,2074/2075
4,12.5,0.6563,13.1562,2018-03-14 [Closed],,,2073/2074
5,12.5,0.00,12.5,2019-09-17 [Closed],,,2073/2074
6,25.00,,25.00,2017-08-30 [Closed],,,2072/2073
7,13.00,,13.00,2013-04-25 [Closed],2013-06-08,,2068/2069
8,20.00,1.05,21.05,2012-02-16 [Closed],2012-04-01,,2067/2068
