sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,16.9399,0.8916,17.8315,2021-01-01 [Closed],,2021-07-14,2076/2077
2,30.00,1.58,31.58,2019-11-06 [Closed],,2020-01-31,2075/2076
3,15.00,11.32,26.32,2018-10-03 [Closed],,,2074/2075
4,30.00,12.105,42.105,2017-09-18 [Closed],,,2073/2074
5,10.00,10.00,20.00,2016-12-19 [Closed],,,2072/2073
