sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,50.00,50.00,100.00,2021-01-01 [Closed],,2021-02-15,2076/2077
2,50.00,52.63,102.63,2019-12-01 [Closed],2020-01-19,2020-02-14,2075/2076
3,0.00,21.05,21.05,2018-12-19 [Closed],,,2074/2075
4,0.00,68.42,68.42,2019-05-31 [Closed],,,2074/2075
5,0.00,21.05,21.05,2017-12-01 [Closed],,,2073/2074
6,0.00,20.00,20.00,2016-11-17 [Closed],2017-01-23,,2072/2073
7,0.00,20.00,20.00,2015-11-17 [Closed],2016-01-13,,2071/2072
8,0.00,10.52,10.52,2014-11-10 [Closed],2014-12-20,,2070/2071
