sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,11.25,4.26,15.51,2020-12-28 [Closed],,2021-02-15,2076/2077
2,17.6,0.93,18.53,2019-12-09 [Closed],,2020-02-12,2075/2076
3,18.25,0.96,19.21,2018-12-04 [Closed],,,2074/2075
4,20.00,1.05,21.05,2017-12-22 [Closed],,,2073/2074
5,34.00,0.00,34.00,2016-11-09 [Closed],,,2072/2073
6,31.00,1.63,32.63,2015-12-28 [Closed],,,2071/2072
7,38.00,2.00,40.00,2014-11-14 [Closed],2015-01-11,,2070/2071
8,20.00,7.5,27.5,2013-11-15 [Closed],2013-12-28,,2069/2070
9,22.5,27.5,50.00,2012-10-05 [Closed],2012-10-17,,2068/2069
