sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,13.00,3.2,16.2,2020-12-31 [Closed],,2021-03-09,2076/2077
2,21.00,14.00,35.00,2019-12-20 [Closed],2020-01-16,2020-06-10,2075/2076
3,10.00,20.00,30.00,2018-12-25 [Closed],,,2074/2075
4,15.00,0.7895,15.7895,2018-08-02 [Closed],,,2073/2074
5,19.00,1.00,20.00,2016-12-22 [Closed],,,2072/2073
6,8.00,0.42,8.42,2016-01-26 [Closed],,,2071/2072
7,20.00,1.05,21.05,2014-11-13 [Closed],2015-01-06,,2070/2071
8,0.00,10.00,10.00,2013-12-01 [Closed],2013-12-31,,2069/2070
9,0.00,9.00,9.00,2011-12-04 [Closed],2011-12-20,,2067/2068
