sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,5.00,0.263,5.263,2020-12-31 [Closed],,2021-04-05,2076/2077
2,5.00,0.263,5.263,2017-10-04 [Closed],,,2073/2074
