sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,10.00,0.53,10.53,2021-04-23 [Closed],,2021-08-06,2076/2077
2,0.00,6.58,6.58,2020-02-11 [Closed],2020-03-11,,2075/2076
3,0.00,2.63,2.63,2019-05-27 [Closed],,,2074/2075
4,12.00,0.63,12.63,2019-05-27 [Closed],,2019-09-03,2073/2074
5,15.00,0.79,15.79,2016-12-26 [Closed],,2017-06-06,2072/2073
6,20.00,1.05,21.05,2016-05-22 [Closed],,2016-09-29,2071/2072
