sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,10.00,0.53,10.53,2021-01-15 [Closed],,2021-03-24,2075/2076
2,2.5,12.00,14.5,2019-10-27 [Closed],,2020-01-07,2074/2075
3,13.5,0.00,13.5,2019-03-15 [Closed],,2019-07-07,2073/2074
4,25.00,1.32,26.32,2017-07-23 [Closed],,,2072/2073
5,30.00,1.58,31.58,2016-11-24 [Closed],,,2071/2072
6,30.00,8.00,38.00,2015-04-24 [Closed],2015-06-20,,2070/2071
7,55.00,17.5,72.5,2014-05-26 [Closed],2014-06-19,,2069/2070
8,25.00,,25.00,2013-03-14 [Closed],2013-05-01,,2068/2069
9,30.00,1.58,31.58,2012-07-31 [Closed],2012-09-08,,2067/2068
