sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,10.00,0.00,10.00,2021-04-04 [Closed],,,2076/2077
2,12.00,0.63,12.63,,,2019-11-11,2075/2076
3,8.00,0.42,8.42,2019-01-13 [Closed],,,2074/2075
4,21.21,,21.21,2018-02-18 [Closed],,,2073/2074
5,65.00,,65.00,2017-04-17 [Closed],,,2072/2073
