sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,10.2695,0.5405,10.81,2021-01-05 [Closed],,2021-02-04,2076/2077
2,15.00,0.78,15.78,2020-01-21 [Closed],,2020-02-18,2075/2076
3,15.89,0.83,16.72,2019-08-11 [Closed],,,2074/2075
4,16.00,,16.00,2015-11-29 [Closed],,,2071/2072
5,38.00,2.00,40.00,2015-07-01 [Closed],2015-08-31,,2070/2071
6,5.00,0.26,5.26,2013-03-17 [Closed],2013-07-20,,2068/2069
