sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,10.5,0.55,11.05,2021-03-12 [Closed],,2021-08-08,2076/2077
2,13.00,0.68,13.68,2019-11-21 [Closed],,2020-03-02,2075/2076
