sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,10.00,0.00,10.00,2021-01-13 [Closed],,2021-03-09,2076/2077
2,12.75,0.00,12.75,2020-01-01 [Closed],,2020-03-05,2075/2076
3,0.00,8.4,8.4,2018-10-15 [Closed],,,2074/2075
4,10.00,,10.00,2017-12-31 [Closed],,,2073/2074
5,11.7,,11.7,2016-12-29 [Closed],,,2072/2073
6,9.00,,9.00,2015-10-19 [Closed],2016-05-01,,2071/2072
7,7.00,,7.00,2015-04-12 [Closed],2015-07-28,,2070/2071
8,7.00,5.6,12.6,2014-07-02 [Closed],2014-11-30,,2069/2070
9,0.00,8.5,8.5,2011-12-08 [Closed],2011-12-28,,2067/2068
