sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,19.00,1.00,20.00,2020-11-25 [Closed],,2021-01-15,2076/2077
2,10.00,11.05,21.05,2019-09-15 [Closed],,2019-12-19,2075/2076
3,10.00,0.526,10.526,2018-12-05 [Closed],,,2074/2075
4,20.00,1.05,21.05,2017-09-01 [Closed],,2017-12-18,2073/2074
5,26.00,1.37,27.37,2016-09-21 [Closed],,,2072/2073
6,39.00,2.05,41.05,2016-01-10 [Closed],2016-03-16,2016-04-11,2071/2072
7,15.00,15.00,30.00,2014-12-15 [Closed],2015-01-12,2015-05-24,2070/2071
8,0.00,20.00,20.00,2014-02-05 [Closed],2014-03-03,,2069/2070
