sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,10.00,5.00,15.00,2020-12-28 [Closed],,2021-02-21,2076/2077
2,10.00,0.5263,10.5263,2019-12-25 [Closed],,2020-07-02,2075/2076
3,10.00,5.00,15.00,2018-10-11 [Closed],,,2074/2075
