sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,7.00,3.00,10.00,2021-01-25 [Closed],,2021-07-26,2076/2077
2,0.00,7.00,7.00,2020-02-11 [Closed],2020-03-04,,2075/2076
3,0.00,7.00,7.00,2019-03-07 [Closed],,,2074/2075
4,8.77,0.00,8.77,2018-10-31 [Closed],,2019-03-07,2073/2074
5,22.5,1.74,24.24,2016-04-11 [Closed],,,2072/2073
6,33.00,1.74,34.74,2016-01-03 [Closed],,2015-02-02,2071/2072
7,10.00,,10.00,2014-07-03 [Closed],,2015-02-02,2069/2070
