sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,0.00,6.00,6.00,2019-04-05 [Closed],,,2074/2075
2,5.55,0.29,5.84,2018-10-05 [Closed],,,2073/2074
3,20.00,1.05,21.05,2016-12-25 [Closed],,,2072/2073
4,20.00,1.05,21.05,2016-06-29 [Closed],,,2071/2072
