sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,8.00,0.42,8.42,2021-02-05 [Closed],,2021-04-12,2076/2077
2,0.00,6.57,6.57,2019-12-09 [Closed],2019-12-22,,2075/2076
3,0.00,4.05,4.05,2019-04-23 [Closed],,,2074/2075
4,10.25,0.54,10.79,2019-04-23 [Closed],,,2073/2074
5,2.88,0.15,3.03,2017-05-04 [Closed],,,2072/2073
6,6.75,0.35,7.1,2015-12-06 [Closed],2016-04-24,,2071/2072
7,7.00,1.5,8.5,2015-01-06 [Closed],2015-03-05,,2070/2071
8,0.00,5.75,5.75,2013-10-08 [Closed],2014-01-18,,2069/2070
