sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,0.00,10.00,10.00,2021-02-12 [Closed],,,2076/2077
2,0.00,12.00,12.00,2019-12-24 [Closed],2020-01-24,,2075/2076
3,0.631,12.00,12.631,2019-05-17 [Closed],,,2074/2075
4,0.00,7.36,7.36,2018-03-02 [Closed],2018-05-06,,2073/2074
