sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,5.8,2.48,8.28,2020-12-22 [Closed],,2021-03-25,2076/2077
2,10.00,5.8,15.8,2019-10-18 [Closed],2019-11-03,2020-02-12,2075/2076
3,0.00,11.5,11.5,2018-12-27 [Closed],,,2074/2075
4,15.00,,15.00,2017-10-30 [Closed],,,2073/2074
5,33.33,,33.33,2016-10-03 [Closed],,,2072/2073
6,21.5,1.13,22.63,2015-10-28 [Closed],2016-05-02,,2071/2072
7,11.00,,11.00,2014-04-10 [Closed],2014-07-26,,2069/2070
8,0.00,5.26,5.26,2012-12-24 [Closed],2013-01-26,,2068/2069
9,0.00,4.00,4.00,2011-12-20 [Closed],2012-02-07,,2067/2068
