sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,0.00,11.05,11.05,2021-03-24 [Closed],,,2076/2077
2,84.00,0.00,84.00,2019-07-05 [Closed],,,2074/2075
3,13.52,,13.52,2018-03-22 [Closed],,,2073/2074
4,20.00,1.05,21.05,2016-12-22 [Closed],,,2072/2073
5,30.00,1.02,31.02,2016-03-17 [Closed],,,2071/2072
6,14.00,,14.00,2015-07-02 [Closed],2015-10-03,,2070/2071
7,15.00,0.79,15.79,2013-06-07 [Closed],2013-07-29,,2068/2069
