sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,19.5,1.03,20.53,2020-12-30 [Closed],,2021-02-23,2076/2077
2,13.00,0.68,13.68,2019-12-26 [Closed],,2020-07-23,2075/2076
