sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,25.00,6.58,31.58,2021-02-17 [Closed],,2021-08-06,2076/2077
2,32.5,12.5,45.00,2019-12-31 [Closed],,2020-12-01,2075/2076
3,25.00,20.00,45.00,2018-12-30 [Closed],,,2074/2075
4,50.00,15.00,65.00,2018-03-01 [Closed],,,2073/2074
