sn,bonus_dividend,cash_dividend,total_dividend,book_closure_date,distribution_date,bonus_listing_date,fiscal_yr
1,10.00,0.526,10.526,2020-12-30 [Closed],,2021-04-05,2076/2077
2,0.00,10.00,10.00,2020-02-27 [Closed],,,2075/2076
3,0.00,10.00,10.00,2018-08-30 [Closed],,,2074/2075
4,10.00,0.53,10.53,2017-09-07 [Closed],,2018-01-09,2073/2074
5,0.00,5.00,5.00,2016-10-27 [Closed],,,2072/2073
