sn,id,stock_name,symbol,sector
211,420,Gandaki Bikas Bank Limited,GDBL,Development Banks
192,421,Hathway Finance Company Limited,HATH,Finance
168,428,Karnali Development Bank Limited,KRBL,Development Banks
187,441,Himalayan Finance Limited (Bittiya Sanstha),HFL,Finance
196,447,Gurans Life Insurance Company Ltd.,GLICL,Life Insurance
223,450,Corporate Development Bank Limited,CORBL,Development Banks
170,459,Kamana Sewa Bikas Bank Limited,KSBBL,Development Banks
140,471,Multipurpose Finance Company  Limited,MPFL,Finance
47,472,Shangrila Development Bank Ltd.,SADBL,Development Banks
45,473,Shine Resunga Development Bank Ltd.,SHINE,Development Banks
141,474,Muktinath Bikas Bank Ltd.,MNBBL,Development Banks
245,487,Bhargav Bikash Bank Ltd.,BHBL,Development Banks
215,490,First Micro Finance Development Bank Ltd.,FMDBL,Microfinance
179,496,Janata Bank Nepal Ltd.,JBNL,Commercial Banks
28,502,Summit Laghubitta Bittiya Sanstha Limited,SMFDB,Microfinance
149,516,Manjushree Finance Ltd.,MFIL,Finance
128,517,Nepal Bank Limited,NBL,Commercial Banks
225,532,Civil Bank Ltd,CBL,Commercial Banks
18,545,Swarojgar Laghu Bitta Bikas Bank Ltd.,SLBBL,Microfinance
97,559,NLG Insurance Company Ltd.,NLG,Non Life Insurance
33,561,Sindhu Bikash Bank Ltd,SINDU,Development Banks
148,562,Mega  Bank Nepal Ltd.,MEGA,Commercial Banks
56,574,Sana Kisan Bikas Bank Ltd,SKBBL,Microfinance
69,575,RMDC Laghubitta Bittiya Sanstha Ltd.,RMDC,Microfinance
194,576,Hamro Bikas Bank Ltd.,HAMRO,Development Banks
201,583,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,GBLBS,Microfinance
72,587,Reliance Finance Ltd.,RLFL,Finance
51,591,Sanima Mai Hydropower Ltd.,SHPC,Hydro Power
48,592,Sarathi Nepal Laghubitta Bittiya Sanstha Limited,SNLB,Microfinance
172,593,Kalika Microcredit Development Bank Ltd.,KMCDB,Microfinance
144,601,Mithila LaghuBitta Bittiya Sanstha Limited,MLBBL,Microfinance
235,605,Century Commercial Bank Ltd.,CCBL,Commercial Banks
70,610,Ridi Hydropower Development Company Ltd.,RHPC,Hydro Power
36,616,Siddhartha Equity Orineted Scheme,SEOS,Mutual Fund
160,618,Laxmi Laghubitta Bittiya Sanstha Ltd.,LLBS,Microfinance
63,625,Sahara Bikas Bank Ltd.,SHBL,Development Banks
104,636,NIBL Samriddhi Fund 1,NIBSF1,Mutual Fund
146,682,Mirmire Microfinance Development Bank Ltd.,MMFDB,Microfinance
247,686,Barun Hydropower Co. Ltd.,BARUN,Hydro Power
3,687,Vijaya laghubitta Bittiya Sanstha Ltd.,VLBS,Microfinance
151,691,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,MSMBS,Microfinance
224,693,Civil Laghubitta Bittiya Sanstha Ltd.,CLBSL,Microfinance
166,694,Kisan Lagubitta Bittiya Sanstha Limited,KLBSL,Microfinance
178,695,Janautthan Samudayic Laghubitta Bikas Bank Ltd.,JSLBB,Microfinance
255,697,Api Power Company Ltd.,API,Hydro Power
96,704,NMB  Microfinance Bittiya Sanstha Ltd.,NMBMF,Microfinance
205,705,Global IME Laghubitta Bittiya Sanstha Ltd.,GILB,Microfinance
2,706,Womi Microfinance Bittiya Sanstha Ltd.,WOMI,Microfinance
204,1740,Global IME Samunnat Scheme-1,GIMES1,Mutual Fund
147,1741,Mero Microfinance Bittiya Sanstha Ltd.,MERO,Microfinance
184,2742,Hydorelectricity Investment and Development Company Ltd,HIDCL,Investment
107,2743,Ngadi Group Power Ltd.,NGPL,Hydro Power
200,2744,Green Development Bank Ltd.,GRDBL,Development Banks
132,2746,National Microfinance Bittiya Sanstha Ltd.,NMFBS,Microfinance
68,2748,RSDC Laghubitta Bittiya Sanstha Ltd.,RSDC,Microfinance
22,2750,Suryodaya Laghubitta Bittiya Sanstha Ltd.,SLBS,Microfinance
167,2751,Khanikhola Hydropower Co. Ltd.,KKHC,Hydro Power
93,2752,NMB Hybrid Fund L-1,NMBHF1,Mutual Fund
137,2753,Nabil Equity Fund,NEF,Mutual Fund
220,2754,Dibyashwori Hydropower Ltd.,DHPL,Hydro Power
106,2755,NIBL Pragati Fund,NIBLPF,Mutual Fund
253,2757,Arun Kabeli Power Ltd.,AKPL,Hydro Power
213,2758,Forward Community Microfinance Bittiya Sanstha Ltd.,FOWAD,Microfinance
16,2759,Synergy Power Development Ltd.,SPDL,Hydro Power
7,2760,United Modi Hydropower Ltd.,UMHL,Hydro Power
60,2761,Samata Gharelu Laghubitta Bittiya Sanstha Limited,SMATA,Microfinance
